"filename", "language", "JavaScript", "JSON with Comments", "JSON", "TypeScript", "Markdown", "YAML", "comment", "blank", "total"
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\modules\email\services\index.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\modules\email\types\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\modules\email\types\registered-user.job.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 2, 4
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\modules\email\types\update-email.job.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 2, 4
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\modules\throttler\throttler-config.service.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 2, 12
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\modules\throttler\throttler.module.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 2, 9
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\setup-app.ts", "TypeScript", 0, 0, 0, 50, 0, 0, 0, 9, 59
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\setup-swagger.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 5, 20
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\tsconfig.build.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\tsconfig.json", "JSON with Comments", 0, 23, 0, 0, 0, 0, 0, 1, 24
"Total", "-", 27, 23, 126, 2394, 1, 6844, 17, 2534, 11966
